,LONGITUD,LATITUD,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT,TOX_FIS_SUP_15_UT,SEMAFORO,GRUPO,Coordenadas
835,-101.95994,18.22991,2.0,14.07,10.0,4600.0,2400.0,58.7,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-101.95994 18.22991)
836,-101.90675,18.24628,2.0,10.0,10.0,1956.0,3.0,44.8,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-101.90675 18.24628)
837,-101.90667,18.26283,2.0,10.0,10.0,2143.0,10.0,49.0,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-101.90667 18.26283)
838,-101.90208,18.2692,2.0,22.36,10.0,3255.0,41.0,46.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-101.90208 18.2692)
839,-101.89916,18.27455,2.0,10.0,10.0,1720.0,3.0,59.4,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-101.89916 18.27455)
840,-101.89285,18.26888,2.0,10.0,10.0,906.0,3.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-101.89285 18.26888)
841,-101.85149,18.25658,2.0,10.0,10.0,359.0,3.0,68.3,1.0,1.0,1.0,Amarillo,LENTICO,POINT (-101.85149 18.25658)
842,-101.8911,18.41975,2.0,10.0,10.0,573.0,3.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-101.8911 18.41975)
843,-101.91103,18.43372,2.0,10.0,10.0,410.0,10.0,68.3,1.0,1.0,1.0,Verde,LENTICO,POINT (-101.91103 18.43372)
844,-102.18008,18.00375,2.0,14.07,10.0,930.0,230.0,60.8,1.0,1.0,1.0,Verde,LOTICO,POINT (-102.18008 18.00375)
845,-102.15885,17.98179,2.0,24.43,10.0,40.0,3.0,66.1,1.0,1.0,1.0,Verde,LOTICO,POINT (-102.15885 17.98179)
846,-102.16969,17.9495,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Rojo,COSTERO,POINT (-102.16969 17.9495)
847,-102.18521,17.93875,2.63,27.01,10.0,2400.0,424.0,68.3,1.0,1.0,1.0,Verde,COSTERO,POINT (-102.18521 17.93875)
848,-101.11099,18.52238,6.7,44.68,476.0,46110.0,21430.0,98.5,1.0,1.0,1.0,Rojo,LOTICO,POINT (-101.11099 18.52238)
849,-102.62581,20.23139,5.52,37.58,103.67,27550.0,20140.0,80.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.62581 20.23139)
850,-102.62428,20.23314,4.9,42.25,86.6,11980.0,740.0,52.1,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.62428 20.23314)
851,-102.61965,20.23788,2.0,42.0,90.67,24810.0,310.0,69.1,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.61965 20.23788)
852,-102.56771,20.25746,2.0,29.54,48.4,1787.0,158.0,64.7,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.56771 20.25746)
853,-102.45735,20.32851,23.5,26.16,1076.0,241960.0,241960.0,68.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.45735 20.32851)
854,-102.34962,20.33493,19.2,45.18,161.33,57940.0,27230.0,80.3,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.34962 20.33493)
855,-102.34568,20.335,15.9,53.93,142.33,41060.0,27550.0,70.0,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.34568 20.335)
856,-102.29311,20.35313,6.3,40.43,148.0,241960.0,241960.0,80.7,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.29311 20.35313)
857,-102.28093,20.34488,16.6,47.18,143.75,104620.0,38730.0,74.2,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.28093 20.34488)
858,-102.34377,20.02542,3.78,10.0,118.67,155310.0,41060.0,79.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.34377 20.02542)
859,-102.37227,20.11953,6.27,11.65,101.6,241960.0,241960.0,94.3,1.0,1.0,1.0,Amarillo,LOTICO,POINT (-102.37227 20.11953)
860,-101.92993,20.21702,13.6,69.08,140.6,4100.0,3100.0,135.5,1.0,1.0,1.0,Rojo,LOTICO,POINT (-101.92993 20.21702)
861,-101.96678,20.35836,6.9,83.5,354.67,30760.0,1421.0,51.6,1.0,1.0,1.0,Rojo,LOTICO,POINT (-101.96678 20.35836)
862,-101.96893,20.35996,10.2,43.18,60.2,12033.0,8664.0,108.2,1.0,1.0,1.0,Rojo,LOTICO,POINT (-101.96893 20.35996)
863,-101.98269,20.35879,12.1,50.0,60.2,12590.0,11780.0,91.1,1.0,1.0,1.0,Rojo,LOTICO,POINT (-101.98269 20.35879)
864,-102.01376,20.32779,10.9,53.68,56.83,24196.0,24196.0,70.1,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.01376 20.32779)
865,-102.02359,20.35283,16.9,84.08,100.83,241960.0,241960.0,46.7,1.0,1.0,1.0,Rojo,LOTICO,POINT (-102.02359 20.35283)
